id,datetime,sentiment,text,lctext
1303458451671010000,8/09/2020 22:21,0.124272727,"Police Chief, and most of the police in Rochester, N.Y., have resigned. The Democrat Mayor and, of courses, Governor Cuomo, have no idea what to do. New York State is a mess - No Money, High Taxes &amp; Crime, Everyone Fleeing. November 3rd. We can fix it!","police chief, and most of the police in rochester, n.y., have resigned. the democrat mayor and, of courses, governor cuomo, have no idea what to do. new york state is a mess - no money, high taxes &amp; crime, everyone fleeing. november 3rd. we can fix it!"
1303462828473330000,8/09/2020 22:38,0,"Just landed in North Carolina, thank you! https://t.co/KVuTsaQ6b2","just landed in north carolina, thank you! https://t.co/kvutsaq6b2"
1303491394229510000,9/09/2020 0:32,0,https://t.co/HXCqUfEuvo,https://t.co/hxcqufeuvo
1303491552178610000,9/09/2020 0:32,0,https://t.co/M7O6VgElFO,https://t.co/m7o6vgelfo
1303496842735310000,9/09/2020 0:53,0.666666667,".@seanhannity will be talking about the big North Carolina Rally tonight. Great crowd! Also, congratulations to Sean, @TuckerCarlson and @IngrahamAngle on the Great Ratings!",".@seanhannity will be talking about the big north carolina rally tonight. great crowd! also, congratulations to sean, @tuckercarlson and @ingrahamangle on the great ratings!"
1303506731222330000,9/09/2020 1:33,0.390340909,"Great new book out today, â€œSpeaking for Myself: Faith, Freedom, and the Fight of Our Lives Inside the Trump White Houseâ€ by @SarahHuckabee Sanders. Make sure you get your copy today! https://t.co/onJyT0aDxQ","great new book out today, â€œspeaking for myself: faith, freedom, and the fight of our lives inside the trump white houseâ€ by @sarahhuckabee sanders. make sure you get your copy today! https://t.co/onjyt0adxq"
1303508170460010000,9/09/2020 1:39,0,https://t.co/oCQ3zeVywn,https://t.co/ocq3zevywn
1303508254354540000,9/09/2020 1:39,0.485227273,Great new book by Sarah! https://t.co/GIrCZVWYDy,great new book by sarah! https://t.co/girczvwydy
1303528818871850000,9/09/2020 3:01,0,"Thank you Winston-Salem, North Carolina! #MAGA https://t.co/VJkBTfAGjg","thank you winston-salem, north carolina! #maga https://t.co/vjkbtfagjg"
1303534532516330000,9/09/2020 3:23,0,https://t.co/LPsyfMZXoU,https://t.co/lpsyfmzxou
