id,word,total_count,total_frequency,trump_count,trump_frequency
389,Approval,44,0.000325948,44,0.000325948
493,strongly,44,0.000325948,44,0.000325948
535,given,44,0.000325948,44,0.000325948
756,Border,44,0.000325948,44,0.000325948
959,"Democrats,",44,0.000325948,44,0.000325948
1161,record,44,0.000325948,44,0.000325948
1220,voting,44,0.000325948,44,0.000325948
893,best,43,0.00031854,43,0.00031854
1086,allowed,43,0.00031854,43,0.00031854
1115,went,43,0.00031854,43,0.00031854
2522,"me,",43,0.00031854,43,0.00031854
2863,With,43,0.00031854,43,0.00031854
3061,For,43,0.00031854,43,0.00031854
4340,supports,43,0.00031854,43,0.00031854
9527,Election.,43,0.00031854,43,0.00031854
202,General,42,0.000311132,42,0.000311132
285,"years,",42,0.000311132,42,0.000311132
342,why,42,0.000311132,42,0.000311132
588,3,42,0.000311132,42,0.000311132
1181,But,42,0.000311132,42,0.000311132
2972,everyone,42,0.000311132,42,0.000311132
4264,states,42,0.000311132,42,0.000311132
4492,Rigged,42,0.000311132,42,0.000311132
671,place,41,0.000303724,41,0.000303724
872,night,41,0.000303724,41,0.000303724
2488,called,41,0.000303724,41,0.000303724
3530,failed,41,0.000303724,41,0.000303724
65,â€œThe,40,0.000296316,40,0.000296316
182,(and,40,0.000296316,40,0.000296316
240,"it,",40,0.000296316,40,0.000296316
273,them.,40,0.000296316,40,0.000296316
294,end,40,0.000296316,40,0.000296316
441,already,40,0.000296316,40,0.000296316
506,biggest,40,0.000296316,40,0.000296316
706,show,40,0.000296316,40,0.000296316
941,looking,40,0.000296316,40,0.000296316
1364,knows,40,0.000296316,40,0.000296316
2023,too,40,0.000296316,40,0.000296316
6182,CoronaVirus,40,0.000296316,40,0.000296316
8201,Ballots,40,0.000296316,40,0.000296316
4,greatest,39,0.000288908,39,0.000288908
210,Americans,39,0.000288908,39,0.000288908
267,That,39,0.000288908,39,0.000288908
309,Itâ€™s,39,0.000288908,39,0.000288908
345,stop,39,0.000288908,39,0.000288908
390,Rating,39,0.000288908,39,0.000288908
1066,NOT,39,0.000288908,39,0.000288908
1215,Very,39,0.000288908,39,0.000288908
1337,same,39,0.000288908,39,0.000288908
1646,Michigan,39,0.000288908,39,0.000288908
2044,call,39,0.000288908,39,0.000288908
2256,IN,39,0.000288908,39,0.000288908
2664,@OANN,39,0.000288908,39,0.000288908
3605,especially,39,0.000288908,39,0.000288908
5157,"Russia,",39,0.000288908,39,0.000288908
225,millions,38,0.0002815,38,0.0002815
469,high,38,0.0002815,38,0.0002815
516,without,38,0.0002815,38,0.0002815
519,These,38,0.0002815,38,0.0002815
1261,canâ€™t,38,0.0002815,38,0.0002815
1480,"Country,",38,0.0002815,38,0.0002815
1615,think,38,0.0002815,38,0.0002815
1986,Texas,38,0.0002815,38,0.0002815
2015,Donâ€™t,38,0.0002815,38,0.0002815
2078,bring,38,0.0002815,38,0.0002815
4152,year,38,0.0002815,38,0.0002815
4382,"Taxes,",38,0.0002815,38,0.0002815
4551,Tom,38,0.0002815,38,0.0002815
5330,early,38,0.0002815,38,0.0002815
5628,Bidenâ€™s,38,0.0002815,38,0.0002815
11973,LAW,38,0.0002815,38,0.0002815
49,NO,37,0.000274092,37,0.000274092
70,million,37,0.000274092,37,0.000274092
207,badly,37,0.000274092,37,0.000274092
1264,highly,37,0.000274092,37,0.000274092
2129,between,37,0.000274092,37,0.000274092
2301,countries,37,0.000274092,37,0.000274092
2800,FAKE,37,0.000274092,37,0.000274092
2838,such,37,0.000274092,37,0.000274092
5229,funding,37,0.000274092,37,0.000274092
44,@CNN,36,0.000266684,36,0.000266684
195,Iran,36,0.000266684,36,0.000266684
541,weak,36,0.000266684,36,0.000266684
611,state,36,0.000266684,36,0.000266684
881,since,36,0.000266684,36,0.000266684
924,fraud,36,0.000266684,36,0.000266684
1307,Security,36,0.000266684,36,0.000266684
1336,while,36,0.000266684,36,0.000266684
1365,campaign,36,0.000266684,36,0.000266684
1492,Corrupt,36,0.000266684,36,0.000266684
1611,Country!,36,0.000266684,36,0.000266684
1613,crime,36,0.000266684,36,0.000266684
2435,How,36,0.000266684,36,0.000266684
2562,honor,36,0.000266684,36,0.000266684
3384,during,36,0.000266684,36,0.000266684
6786,Small,36,0.000266684,36,0.000266684
729,voted,35,0.000259277,35,0.000259277
847,AMERICA,35,0.000259277,35,0.000259277
900,anything,35,0.000259277,35,0.000259277
1130,His,35,0.000259277,35,0.000259277
1284,does,35,0.000259277,35,0.000259277
2121,"Amendment,",35,0.000259277,35,0.000259277
2703,"States,",35,0.000259277,35,0.000259277
4312,moving,35,0.000259277,35,0.000259277
6370,easily,35,0.000259277,35,0.000259277
11621,Guard,35,0.000259277,35,0.000259277
42,yet,34,0.000251869,34,0.000251869
135,lot,34,0.000251869,34,0.000251869
528,fully,34,0.000251869,34,0.000251869
899,seen,34,0.000251869,34,0.000251869
1506,fighting,34,0.000251869,34,0.000251869
1636,fact,34,0.000251869,34,0.000251869
1744,2nd,34,0.000251869,34,0.000251869
2071,little,34,0.000251869,34,0.000251869
2093,"Crime,",34,0.000251869,34,0.000251869
2694,Jim,34,0.000251869,34,0.000251869
2902,close,34,0.000251869,34,0.000251869
4355,First,34,0.000251869,34,0.000251869
6013,took,34,0.000251869,34,0.000251869
37,believe,33,0.000244461,33,0.000244461
122,Witch,33,0.000244461,33,0.000244461
171,"President,",33,0.000244461,33,0.000244461
241,both,33,0.000244461,33,0.000244461
331,thought,33,0.000244461,33,0.000244461
971,despite,33,0.000244461,33,0.000244461
1015,continue,33,0.000244461,33,0.000244461
1239,Russia,33,0.000244461,33,0.000244461
1450,anyone,33,0.000244461,33,0.000244461
1640,use,33,0.000244461,33,0.000244461
1684,own,33,0.000244461,33,0.000244461
1853,Tax,33,0.000244461,33,0.000244461
2394,left,33,0.000244461,33,0.000244461
6920,4,33,0.000244461,33,0.000244461
8206,Mail-In,33,0.000244461,33,0.000244461
594,NEVER,32,0.000237053,32,0.000237053
672,now.,32,0.000237053,32,0.000237053
747,gave,32,0.000237053,32,0.000237053
765,ready,32,0.000237053,32,0.000237053
1515,ALL,32,0.000237053,32,0.000237053
1608,Thatâ€™s,32,0.000237053,32,0.000237053
1725,terrible,32,0.000237053,32,0.000237053
2040,story,32,0.000237053,32,0.000237053
2199,man,32,0.000237053,32,0.000237053
2847,send,32,0.000237053,32,0.000237053
2986,almost,32,0.000237053,32,0.000237053
3204,Secretary,32,0.000237053,32,0.000237053
3405,proud,32,0.000237053,32,0.000237053
4336,Mayor,32,0.000237053,32,0.000237053
5121,YOU,32,0.000237053,32,0.000237053
143,small,31,0.000229645,31,0.000229645
152,illegally,31,0.000229645,31,0.000229645
392,Party.,31,0.000229645,31,0.000229645
514,beautiful,31,0.000229645,31,0.000229645
527,quickly,31,0.000229645,31,0.000229645
548,Hoax,31,0.000229645,31,0.000229645
683,making,31,0.000229645,31,0.000229645
797,news,31,0.000229645,31,0.000229645
1107,used,31,0.000229645,31,0.000229645
1110,complete,31,0.000229645,31,0.000229645
1391,matter,31,0.000229645,31,0.000229645
2096,Vets,31,0.000229645,31,0.000229645
4685,jobs,31,0.000229645,31,0.000229645
72,days,30,0.000222237,30,0.000222237
226,"people,",30,0.000222237,30,0.000222237
550,"history,",30,0.000222237,30,0.000222237
1028,report,30,0.000222237,30,0.000222237
1196,Never,30,0.000222237,30,0.000222237
1318,care,30,0.000222237,30,0.000222237
1665,FOR,30,0.000222237,30,0.000222237
2391,destroy,30,0.000222237,30,0.000222237
2946,Chris,30,0.000222237,30,0.000222237
4263,News!,30,0.000222237,30,0.000222237
5106,Poll,30,0.000222237,30,0.000222237
5232,Justice,30,0.000222237,30,0.000222237
10910,Ballot,30,0.000222237,30,0.000222237
160,still,29,0.000214829,29,0.000214829
229,large,29,0.000214829,29,0.000214829
312,knew,29,0.000214829,29,0.000214829
380,brought,29,0.000214829,29,0.000214829
529,perhaps,29,0.000214829,29,0.000214829
578,Election!,29,0.000214829,29,0.000214829
831,lives,29,0.000214829,29,0.000214829
917,so-called,29,0.000214829,29,0.000214829
1073,More,29,0.000214829,29,0.000214829
1190,phony,29,0.000214829,29,0.000214829
1278,Wow!,29,0.000214829,29,0.000214829
1443,wouldnâ€™t,29,0.000214829,29,0.000214829
1918,came,29,0.000214829,29,0.000214829
2169,case,29,0.000214829,29,0.000214829
2284,asked,29,0.000214829,29,0.000214829
3213,Loves,29,0.000214829,29,0.000214829
3479,disaster,29,0.000214829,29,0.000214829
3571,women,29,0.000214829,29,0.000214829
3857,Bill,29,0.000214829,29,0.000214829
4167,Crooked,29,0.000214829,29,0.000214829
4363,fighter,29,0.000214829,29,0.000214829
6072,WE,29,0.000214829,29,0.000214829
7000,Virus,29,0.000214829,29,0.000214829
140,taken,28,0.000207421,28,0.000207421
355,decision,28,0.000207421,28,0.000207421
489,hit,28,0.000207421,28,0.000207421
749,ahead,28,0.000207421,28,0.000207421
870,fantastic,28,0.000207421,28,0.000207421
928,"Left,",28,0.000207421,28,0.000207421
1072,World,28,0.000207421,28,0.000207421
1105,funds,28,0.000207421,28,0.000207421
1232,major,28,0.000207421,28,0.000207421
1298,rather,28,0.000207421,28,0.000207421
1335,"now,",28,0.000207421,28,0.000207421
1847,happen,28,0.000207421,28,0.000207421
2119,"Border,",28,0.000207421,28,0.000207421
2310,playing,28,0.000207421,28,0.000207421
2741,economic,28,0.000207421,28,0.000207421
3080,"him,",28,0.000207421,28,0.000207421
3184,China.,28,0.000207421,28,0.000207421
3523,@nytimes,28,0.000207421,28,0.000207421
3644,D.C.,28,0.000207421,28,0.000207421
4805,"Jobs,",28,0.000207421,28,0.000207421
7084,Police,28,0.000207421,28,0.000207421
8661,Twitter,28,0.000207421,28,0.000207421
191,bigger,27,0.000200013,27,0.000200013
237,able,27,0.000200013,27,0.000200013
320,cut,27,0.000200013,27,0.000200013
476,WILL,27,0.000200013,27,0.000200013
479,VERY,27,0.000200013,27,0.000200013
547,To,27,0.000200013,27,0.000200013
885,may,27,0.000200013,27,0.000200013
922,pay,27,0.000200013,27,0.000200013
1245,Must,27,0.000200013,27,0.000200013
1266,former,27,0.000200013,27,0.000200013
1631,soon,27,0.000200013,27,0.000200013
1790,Amendment,27,0.000200013,27,0.000200013
1850,Donald,27,0.000200013,27,0.000200013
2398,it!,27,0.000200013,27,0.000200013
2473,illegal,27,0.000200013,27,0.000200013
3665,West,27,0.000200013,27,0.000200013
4181,Mueller,27,0.000200013,27,0.000200013
5039,immediately,27,0.000200013,27,0.000200013
5996,home,27,0.000200013,27,0.000200013
6287,testing,27,0.000200013,27,0.000200013
8126,voter,27,0.000200013,27,0.000200013
11766,Section,27,0.000200013,27,0.000200013
11974,ORDER!,27,0.000200013,27,0.000200013
319,wanted,26,0.000192605,26,0.000192605
806,Enforcement,26,0.000192605,26,0.000192605
844,OUR,26,0.000192605,26,0.000192605
898,Iâ€™ve,26,0.000192605,26,0.000192605
1102,caught,26,0.000192605,26,0.000192605
1488,Schumer,26,0.000192605,26,0.000192605
1550,low,26,0.000192605,26,0.000192605
1632,signed,26,0.000192605,26,0.000192605
1695,foreign,26,0.000192605,26,0.000192605
2095,loves,26,0.000192605,26,0.000192605
2425,See,26,0.000192605,26,0.000192605
2545,thank,26,0.000192605,26,0.000192605
2750,watch,26,0.000192605,26,0.000192605
2856,told,26,0.000192605,26,0.000192605
3430,South,26,0.000192605,26,0.000192605
3725,Polls,26,0.000192605,26,0.000192605
4322,Energy,26,0.000192605,26,0.000192605
4417,Black,26,0.000192605,26,0.000192605
5880,power,26,0.000192605,26,0.000192605
25,"&amp,",25,0.000185198,25,0.000185198
363,few,25,0.000185198,25,0.000185198
371,heâ€™s,25,0.000185198,25,0.000185198
433,"others,",25,0.000185198,25,0.000185198
525,person,25,0.000185198,25,0.000185198
614,federal,25,0.000185198,25,0.000185198
762,Wall,25,0.000185198,25,0.000185198
923,price,25,0.000185198,25,0.000185198
934,worst,25,0.000185198,25,0.000185198
1219,before.,25,0.000185198,25,0.000185198
1600,Trade,25,0.000185198,25,0.000185198
1782,Stock,25,0.000185198,25,0.000185198
1783,Market,25,0.000185198,25,0.000185198
1785,Jobs,25,0.000185198,25,0.000185198
2110,Crime,25,0.000185198,25,0.000185198
3436,"Farmers,",25,0.000185198,25,0.000185198
3642,out.,25,0.000185198,25,0.000185198
3687,men,25,0.000185198,25,0.000185198
3692,MSDNC,25,0.000185198,25,0.000185198
4495,country,25,0.000185198,25,0.000185198
4925,respected,25,0.000185198,25,0.000185198
4975,late,25,0.000185198,25,0.000185198
5574,fights,25,0.000185198,25,0.000185198
7054,cannot,25,0.000185198,25,0.000185198
1,One,24,0.00017779,24,0.00017779
261,paid,24,0.00017779,24,0.00017779
400,become,24,0.00017779,24,0.00017779
413,ridiculous,24,0.00017779,24,0.00017779
415,Hoax.,24,0.00017779,24,0.00017779
942,future,24,0.00017779,24,0.00017779
1109,USA.,24,0.00017779,24,0.00017779
1319,less,24,0.00017779,24,0.00017779
1641,tough,24,0.00017779,24,0.00017779
1735,wrong,24,0.00017779,24,0.00017779
1877,rate,24,0.00017779,24,0.00017779
2107,supporter,24,0.00017779,24,0.00017779
2200,truly,24,0.00017779,24,0.00017779
2340,next,24,0.00017779,24,0.00017779
2360,forward,24,0.00017779,24,0.00017779
2397,save,24,0.00017779,24,0.00017779
2541,well.,24,0.00017779,24,0.00017779
3078,gets,24,0.00017779,24,0.00017779
3166,defend,24,0.00017779,24,0.00017779
3426,today.,24,0.00017779,24,0.00017779
3427,"China,",24,0.00017779,24,0.00017779
3697,spoke,24,0.00017779,24,0.00017779
3855,longer,24,0.00017779,24,0.00017779
