id,x,y,cluster_id,text,year,clusterColor,,,
8.39E+17,32.33398819,-5.991294384,0,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!,2017,"rgb(0, 14, 137)",,,
8.40E+17,-37.420578,28.76848793,0,"Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/BSp685Q9Qf https://t.co/K7yeBZsf6r",2017,"rgb(0, 14, 137)",,,
8.40E+17,19.84926796,-4.408135891,0,"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!",2017,"rgb(0, 14, 137)",,,
8.41E+17,25.17580223,7.632115364,0,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming together to get job done!,2017,"rgb(0, 14, 137)",,,
8.41E+17,29.1062355,-2.473483324,0,"It is amazing how rude much of the media is to my very hard working representatives. Be nice, you will do much better!",2017,"rgb(0, 14, 137)",,,
8.41E+17,26.77499771,3.31415844,0,"ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet, by far! Republicans will come together and save the day.",2017,"rgb(0, 14, 137)",,,
8.42E+17,23.16363525,-4.282222271,0,Great optimism in America â and the results will be even better! https://t.co/SYBl47CsZn,2017,"rgb(0, 14, 137)",,,
8.42E+17,31.57038879,-18.6768074,0,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",2017,"rgb(0, 14, 137)",,,
8.42E+17,-2.713742733,27.45610428,0,"Will be going to Detroit, Michigan (love), today for a big meeting on bringing back car production to State &amp, U.S. Already happening!",2017,"rgb(0, 14, 137)",,,
8.42E+17,1.941808581,34.04611588,0,"Looking forward to a big rally in Nashville, Tennessee, tonight. Big crowd of great people expected. Will be fun!",2017,"rgb(0, 14, 137)",,,
8.42E+17,20.79100609,7.12777853,0,CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!,2017,"rgb(0, 14, 137)",,,
8.42E+17,24.67060089,10.61302567,0,A budget that puts #AmericaFirst must make safety its no. 1 priorityâwithout safety there can be no prosperity: https://t.co/9lxx1iQo7m,2017,"rgb(0, 14, 137)",,,
8.43E+17,22.02650642,-10.85452652,0,"""North Korea is behaving very badly. They have been """"playing"""" the United States for years. China has done little to help!""",2017,"rgb(0, 14, 137)",,,
8.44E+17,31.38485336,-35.12034225,0,"The real story that Congress, the FBI and all others should be looking into is the leaking of Classified information. Must find leaker now!",2017,"rgb(0, 14, 137)",,,
8.44E+17,7.841616631,-31.70207977,0,"What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?",2017,"rgb(0, 14, 137)",,,
8.45E+17,5.368365288,-32.38091278,0,"The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!",2017,"rgb(0, 14, 137)",,,
8.46E+17,25.33947372,7.347923756,0,ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!,2017,"rgb(0, 14, 137)",,,
8.46E+17,-33.01934433,-9.845128059,0,Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!,2017,"rgb(0, 14, 137)",,,
8.46E+17,20.64142418,-4.710586071,0,General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.,2017,"rgb(0, 14, 137)",,,
8.47E+17,27.24820709,4.82135582,0,"The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!",2017,"rgb(0, 14, 137)",,,
8.47E+17,37.21505356,-2.711506128,0,The failing @NYTimes would do much better if they were honest! https://t.co/ATy8R3knS2,2017,"rgb(0, 14, 137)",,,
8.47E+17,4.730957985,-28.62294579,0,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",2017,"rgb(0, 14, 137)",,,
8.47E+17,12.69910717,-32.41998672,0,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!,2017,"rgb(0, 14, 137)",,,
8.47E+17,12.23036098,5.559651852,0,"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, &amp, fast. We must fight them, &amp, Dems, in 2018!",2017,"rgb(0, 14, 137)",,,
8.48E+17,14.48181438,8.524352074,0,"If @RepMarkMeadows, @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp, reform.",2017,"rgb(0, 14, 137)",,,
